"stateFIPS","State","Year","Value","Data Comment","Age Group"
"01","Alabama","1999","Data Not Collected","","18 to 24"
"01","Alabama","1999","Data Not Collected","","25 to 34"
"01","Alabama","1999","Data Not Collected","","35 to 44"
"01","Alabama","1999","Data Not Collected","","45 to 54"
"01","Alabama","1999","Data Not Collected","","55 to 64"
"01","Alabama","1999","Data Not Collected","","65 or older"
"01","Alabama","2000","11.6%","","18 to 24"
"01","Alabama","2000","6.9%","","25 to 34"
"01","Alabama","2000","9.8%","","35 to 44"
"01","Alabama","2000","8.6%","","45 to 54"
"01","Alabama","2000","9.8%","","55 to 64"
"01","Alabama","2000","8.8%","","65 or older"
"01","Alabama","2001","10.4%","","18 to 24"
"01","Alabama","2001","10.5%","","25 to 34"
"01","Alabama","2001","8.6%","","35 to 44"
"01","Alabama","2001","9.6%","","45 to 54"
"01","Alabama","2001","10.9%","","55 to 64"
"01","Alabama","2001","8.8%","","65 or older"
"01","Alabama","2002","9.1%","","18 to 24"
"01","Alabama","2002","12.4%","","25 to 34"
"01","Alabama","2002","10.0%","","35 to 44"
"01","Alabama","2002","14.0%","","45 to 54"
"01","Alabama","2002","11.8%","","55 to 64"
"01","Alabama","2002","8.8%","","65 or older"
"01","Alabama","2003","16.7%","","18 to 24"
"01","Alabama","2003","11.0%","","25 to 34"
"01","Alabama","2003","8.8%","","35 to 44"
"01","Alabama","2003","13.2%","","45 to 54"
"01","Alabama","2003","10.7%","","55 to 64"
"01","Alabama","2003","10.3%","","65 or older"
"01","Alabama","2004","13.6%","","18 to 24"
"01","Alabama","2004","12.6%","","25 to 34"
"01","Alabama","2004","13.8%","","35 to 44"
"01","Alabama","2004","15.2%","","45 to 54"
"01","Alabama","2004","14.4%","","55 to 64"
"01","Alabama","2004","14.3%","","65 or older"
"01","Alabama","2005","15.6%","","18 to 24"
"01","Alabama","2005","9.6%","","25 to 34"
"01","Alabama","2005","10.0%","","35 to 44"
"01","Alabama","2005","13.9%","","45 to 54"
"01","Alabama","2005","10.4%","","55 to 64"
"01","Alabama","2005","8.6%","","65 or older"
"01","Alabama","2006","17.4%","","18 to 24"
"01","Alabama","2006","13.4%","","25 to 34"
"01","Alabama","2006","12.8%","","35 to 44"
"01","Alabama","2006","12.5%","","45 to 54"
"01","Alabama","2006","14.2%","","55 to 64"
"01","Alabama","2006","12.1%","","65 or older"
"01","Alabama","2007","19.9%","","18 to 24"
"01","Alabama","2007","12.5%","","25 to 34"
"01","Alabama","2007","9.8%","","35 to 44"
"01","Alabama","2007","13.6%","","45 to 54"
"01","Alabama","2007","14.0%","","55 to 64"
"01","Alabama","2007","10.8%","","65 or older"
"01","Alabama","2008","18.9%","","18 to 24"
"01","Alabama","2008","12.6%","","25 to 34"
"01","Alabama","2008","10.8%","","35 to 44"
"01","Alabama","2008","10.4%","","45 to 54"
"01","Alabama","2008","12.4%","","55 to 64"
"01","Alabama","2008","10.9%","","65 or older"
"01","Alabama","2009","20.0%","","18 to 24"
"01","Alabama","2009","11.8%","","25 to 34"
"01","Alabama","2009","11.4%","","35 to 44"
"01","Alabama","2009","9.1%","","45 to 54"
"01","Alabama","2009","12.9%","","55 to 64"
"01","Alabama","2009","10.9%","","65 or older"
"01","Alabama","2010","14.0%","","18 to 24"
"01","Alabama","2010","16.8%","","25 to 34"
"01","Alabama","2010","10.2%","","35 to 44"
"01","Alabama","2010","9.5%","","45 to 54"
"01","Alabama","2010","12.7%","","55 to 64"
"01","Alabama","2010","11.0%","","65 or older"
"02","Alaska","1999","Data Not Collected","","18 to 24"
"02","Alaska","1999","Data Not Collected","","25 to 34"
"02","Alaska","1999","Data Not Collected","","35 to 44"
"02","Alaska","1999","Data Not Collected","","45 to 54"
"02","Alaska","1999","Data Not Collected","","55 to 64"
"02","Alaska","1999","Data Not Collected","","65 or older"
"02","Alaska","2000","17.6%","","18 to 24"
"02","Alaska","2000","11.9%","","25 to 34"
"02","Alaska","2000","6.5%","","35 to 44"
"02","Alaska","2000","11.6%","","45 to 54"
"02","Alaska","2000","16.2%","","55 to 64"
"02","Alaska","2000","7.6%","","65 or older"
"02","Alaska","2001","12.4%","","18 to 24"
"02","Alaska","2001","9.2%","","25 to 34"
"02","Alaska","2001","12.9%","","35 to 44"
"02","Alaska","2001","13.8%","","45 to 54"
"02","Alaska","2001","8.0%","","55 to 64"
"02","Alaska","2001","11.3%","","65 or older"
"02","Alaska","2002","12.3%","","18 to 24"
"02","Alaska","2002","9.9%","","25 to 34"
"02","Alaska","2002","10.1%","","35 to 44"
"02","Alaska","2002","15.2%","","45 to 54"
"02","Alaska","2002","12.7%","","55 to 64"
"02","Alaska","2002","9.3%","","65 or older"
"02","Alaska","2003","14.2%","","18 to 24"
"02","Alaska","2003","13.8%","","25 to 34"
"02","Alaska","2003","11.9%","","35 to 44"
"02","Alaska","2003","12.6%","","45 to 54"
"02","Alaska","2003","12.8%","","55 to 64"
"02","Alaska","2003","15.6%","","65 or older"
"02","Alaska","2004","20.4%","","18 to 24"
"02","Alaska","2004","13.9%","","25 to 34"
"02","Alaska","2004","11.4%","","35 to 44"
"02","Alaska","2004","10.9%","","45 to 54"
"02","Alaska","2004","14.5%","","55 to 64"
"02","Alaska","2004","8.9%","","65 or older"
"02","Alaska","2005","16.8%","","18 to 24"
"02","Alaska","2005","11.6%","","25 to 34"
"02","Alaska","2005","12.6%","","35 to 44"
"02","Alaska","2005","10.7%","","45 to 54"
"02","Alaska","2005","14.4%","","55 to 64"
"02","Alaska","2005","8.6%","","65 or older"
"02","Alaska","2006","16.1%","","18 to 24"
"02","Alaska","2006","14.3%","","25 to 34"
"02","Alaska","2006","16.0%","","35 to 44"
"02","Alaska","2006","11.0%","","45 to 54"
"02","Alaska","2006","14.0%","","55 to 64"
"02","Alaska","2006","15.9%","","65 or older"
"02","Alaska","2007","16.7%","","18 to 24"
"02","Alaska","2007","14.2%","","25 to 34"
"02","Alaska","2007","11.5%","","35 to 44"
"02","Alaska","2007","14.8%","","45 to 54"
"02","Alaska","2007","14.1%","","55 to 64"
"02","Alaska","2007","9.9%","","65 or older"
"02","Alaska","2008","22.4%","","18 to 24"
"02","Alaska","2008","18.7%","","25 to 34"
"02","Alaska","2008","16.1%","","35 to 44"
"02","Alaska","2008","12.3%","","45 to 54"
"02","Alaska","2008","12.7%","","55 to 64"
"02","Alaska","2008","17.4%","","65 or older"
"02","Alaska","2009","17.0%","","18 to 24"
"02","Alaska","2009","12.5%","","25 to 34"
"02","Alaska","2009","15.7%","","35 to 44"
"02","Alaska","2009","15.5%","","45 to 54"
"02","Alaska","2009","14.8%","","55 to 64"
"02","Alaska","2009","8.6%","","65 or older"
"02","Alaska","2010","25.2%","","18 to 24"
"02","Alaska","2010","11.2%","","25 to 34"
"02","Alaska","2010","13.1%","","35 to 44"
"02","Alaska","2010","12.8%","","45 to 54"
"02","Alaska","2010","15.0%","","55 to 64"
"02","Alaska","2010","15.8%","","65 or older"
"04","Arizona","1999","15.8%","","18 to 24"
"04","Arizona","1999","Suppressed","","25 to 34"
"04","Arizona","1999","8.2%","","35 to 44"
"04","Arizona","1999","6.6%","","45 to 54"
"04","Arizona","1999","Suppressed","","55 to 64"
"04","Arizona","1999","6.5%","","65 or older"
"04","Arizona","2000","10.2%","","18 to 24"
"04","Arizona","2000","6.7%","","25 to 34"
"04","Arizona","2000","14.3%","","35 to 44"
"04","Arizona","2000","Suppressed","","45 to 54"
"04","Arizona","2000","14.5%","","55 to 64"
"04","Arizona","2000","10.4%","","65 or older"
"04","Arizona","2001","15.7%","","18 to 24"
"04","Arizona","2001","10.4%","","25 to 34"
"04","Arizona","2001","14.1%","","35 to 44"
"04","Arizona","2001","10.2%","","45 to 54"
"04","Arizona","2001","11.7%","","55 to 64"
"04","Arizona","2001","13.3%","","65 or older"
"04","Arizona","2002","25.7%","","18 to 24"
"04","Arizona","2002","11.9%","","25 to 34"
"04","Arizona","2002","12.9%","","35 to 44"
"04","Arizona","2002","14.7%","","45 to 54"
"04","Arizona","2002","10.5%","","55 to 64"
"04","Arizona","2002","9.3%","","65 or older"
"04","Arizona","2003","14.3%","","18 to 24"
"04","Arizona","2003","12.7%","","25 to 34"
"04","Arizona","2003","12.0%","","35 to 44"
"04","Arizona","2003","12.1%","","45 to 54"
"04","Arizona","2003","11.3%","","55 to 64"
"04","Arizona","2003","13.0%","","65 or older"
"04","Arizona","2004","13.6%","","18 to 24"
"04","Arizona","2004","10.1%","","25 to 34"
"04","Arizona","2004","11.5%","","35 to 44"
"04","Arizona","2004","14.3%","","45 to 54"
"04","Arizona","2004","10.8%","","55 to 64"
"04","Arizona","2004","13.5%","","65 or older"
"04","Arizona","2005","8.9%","","18 to 24"
"04","Arizona","2005","16.6%","","25 to 34"
"04","Arizona","2005","6.9%","","35 to 44"
"04","Arizona","2005","15.2%","","45 to 54"
"04","Arizona","2005","13.5%","","55 to 64"
"04","Arizona","2005","11.8%","","65 or older"
"04","Arizona","2006","18.0%","","18 to 24"
"04","Arizona","2006","10.7%","","25 to 34"
"04","Arizona","2006","15.9%","","35 to 44"
"04","Arizona","2006","16.7%","","45 to 54"
"04","Arizona","2006","16.5%","","55 to 64"
"04","Arizona","2006","12.2%","","65 or older"
"04","Arizona","2007","Suppressed","","18 to 24"
"04","Arizona","2007","13.9%","","25 to 34"
"04","Arizona","2007","12.9%","","35 to 44"
"04","Arizona","2007","12.0%","","45 to 54"
"04","Arizona","2007","16.5%","","55 to 64"
"04","Arizona","2007","15.1%","","65 or older"
"04","Arizona","2008","23.4%","","18 to 24"
"04","Arizona","2008","17.5%","","25 to 34"
"04","Arizona","2008","14.2%","","35 to 44"
"04","Arizona","2008","10.5%","","45 to 54"
"04","Arizona","2008","13.1%","","55 to 64"
"04","Arizona","2008","12.5%","","65 or older"
"04","Arizona","2009","20.2%","","18 to 24"
"04","Arizona","2009","16.7%","","25 to 34"
"04","Arizona","2009","14.2%","","35 to 44"
"04","Arizona","2009","16.1%","","45 to 54"
"04","Arizona","2009","17.1%","","55 to 64"
"04","Arizona","2009","11.0%","","65 or older"
"04","Arizona","2010","17.3%","","18 to 24"
"04","Arizona","2010","16.6%","","25 to 34"
"04","Arizona","2010","13.2%","","35 to 44"
"04","Arizona","2010","17.9%","","45 to 54"
"04","Arizona","2010","15.7%","","55 to 64"
"04","Arizona","2010","13.2%","","65 or older"
"05","Arkansas","1999","13.7%","","18 to 24"
"05","Arkansas","1999","9.5%","","25 to 34"
"05","Arkansas","1999","11.6%","","35 to 44"
"05","Arkansas","1999","12.5%","","45 to 54"
"05","Arkansas","1999","13.4%","","55 to 64"
"05","Arkansas","1999","8.8%","","65 or older"
"05","Arkansas","2000","11.9%","","18 to 24"
"05","Arkansas","2000","8.9%","","25 to 34"
"05","Arkansas","2000","9.8%","","35 to 44"
"05","Arkansas","2000","10.9%","","45 to 54"
"05","Arkansas","2000","10.4%","","55 to 64"
"05","Arkansas","2000","8.7%","","65 or older"
"05","Arkansas","2001","15.8%","","18 to 24"
"05","Arkansas","2001","7.5%","","25 to 34"
"05","Arkansas","2001","11.4%","","35 to 44"
"05","Arkansas","2001","10.3%","","45 to 54"
"05","Arkansas","2001","9.5%","","55 to 64"
"05","Arkansas","2001","10.4%","","65 or older"
"05","Arkansas","2002","13.0%","","18 to 24"
"05","Arkansas","2002","13.4%","","25 to 34"
"05","Arkansas","2002","10.6%","","35 to 44"
"05","Arkansas","2002","13.2%","","45 to 54"
"05","Arkansas","2002","10.8%","","55 to 64"
"05","Arkansas","2002","11.4%","","65 or older"
"05","Arkansas","2003","11.5%","","18 to 24"
"05","Arkansas","2003","12.4%","","25 to 34"
"05","Arkansas","2003","11.4%","","35 to 44"
"05","Arkansas","2003","13.4%","","45 to 54"
"05","Arkansas","2003","12.6%","","55 to 64"
"05","Arkansas","2003","7.7%","","65 or older"
"05","Arkansas","2004","10.8%","","18 to 24"
"05","Arkansas","2004","13.8%","","25 to 34"
"05","Arkansas","2004","12.2%","","35 to 44"
"05","Arkansas","2004","12.3%","","45 to 54"
"05","Arkansas","2004","12.0%","","55 to 64"
"05","Arkansas","2004","11.0%","","65 or older"
"05","Arkansas","2005","15.8%","","18 to 24"
"05","Arkansas","2005","12.4%","","25 to 34"
"05","Arkansas","2005","10.7%","","35 to 44"
"05","Arkansas","2005","10.6%","","45 to 54"
"05","Arkansas","2005","11.6%","","55 to 64"
"05","Arkansas","2005","9.1%","","65 or older"
"05","Arkansas","2006","10.0%","","18 to 24"
"05","Arkansas","2006","10.9%","","25 to 34"
"05","Arkansas","2006","11.4%","","35 to 44"
"05","Arkansas","2006","12.8%","","45 to 54"
"05","Arkansas","2006","15.1%","","55 to 64"
"05","Arkansas","2006","10.9%","","65 or older"
"05","Arkansas","2007","16.8%","","18 to 24"
"05","Arkansas","2007","11.3%","","25 to 34"
"05","Arkansas","2007","10.6%","","35 to 44"
"05","Arkansas","2007","11.5%","","45 to 54"
"05","Arkansas","2007","11.4%","","55 to 64"
"05","Arkansas","2007","10.2%","","65 or older"
"05","Arkansas","2008","16.6%","","18 to 24"
"05","Arkansas","2008","14.0%","","25 to 34"
"05","Arkansas","2008","11.5%","","35 to 44"
"05","Arkansas","2008","13.0%","","45 to 54"
"05","Arkansas","2008","12.5%","","55 to 64"
"05","Arkansas","2008","10.2%","","65 or older"
"05","Arkansas","2009","Suppressed","","18 to 24"
"05","Arkansas","2009","13.8%","","25 to 34"
"05","Arkansas","2009","11.5%","","35 to 44"
"05","Arkansas","2009","12.7%","","45 to 54"
"05","Arkansas","2009","10.2%","","55 to 64"
"05","Arkansas","2009","10.3%","","65 or older"
"05","Arkansas","2010","23.6%","","18 to 24"
"05","Arkansas","2010","12.9%","","25 to 34"
"05","Arkansas","2010","14.4%","","35 to 44"
"05","Arkansas","2010","11.3%","","45 to 54"
"05","Arkansas","2010","12.3%","","55 to 64"
